Row Labels,Sum of Cases
<3/16/2020 or (blank),9
3/16/2020 - 3/22/2020,79
3/23/2020 - 3/29/2020,256
3/30/2020 - 4/5/2020,404
4/6/2020 - 4/12/2020,393
4/13/2020 - 4/19/2020,510
4/20/2020 - 4/26/2020,528
4/27/2020 - 5/3/2020,566
5/4/2020 - 5/10/2020,598
5/11/2020 - 5/17/2020,571
5/18/2020 - 5/24/2020,644
5/25/2020 - 5/31/2020,760
6/1/2020 - 6/7/2020,971
6/8/2020 - 6/14/2020,1177
6/15/2020 - 6/21/2020,1598
6/22/2020 - 6/28/2020,1857
6/29/2020 - 7/5/2020,1849
7/6/2020 - 7/12/2020,2132
7/13/2020 - 7/19/2020,1759
7/20/2020 - 7/26/2020,1581
7/27/2020 - 8/2/2020,1281
8/3/2020 - 8/9/2020,1191
8/10/2020 - 8/16/2020,1124
8/17/2020 - 8/23/2020,1030
8/24/2020 - 8/30/2020,1107
8/31/2020 - 9/6/2020,1065
9/7/2020 - 9/13/2020,1181
9/14/2020 - 9/20/2020,2211
9/21/2020 - 9/27/2020,2652
9/28/2020 - 10/4/2020,2946
10/5/2020 - 10/11/2020,3411
10/12/2020 - 10/18/2020,3734
10/19/2020 - 10/25/2020,4327
10/26/2020 - 11/1/2020,4976
11/2/2020 - 11/8/2020,7110
11/9/2020 - 11/15/2020,8093
11/16/2020 - 11/22/2020,8554
11/23/2020 - 11/29/2020,6226
11/30/2020 - 12/6/2020,7636
12/7/2020 - 12/13/2020,6189
12/14/2020 - 12/20/2020,5484
12/21/2020 - 12/27/2020,4312
12/28/2020 - 1/3/2021,6085
1/4/2021 - 1/10/2021,7396
1/11/2021 - 1/17/2021,5259
1/18/2021 - 1/24/2021,4089
1/25/2021 - 1/31/2021,3349
2/1/2021 - 2/7/2021,2828
2/8/2021 - 2/14/2021,2374
2/15/2021 - 2/21/2021,1775
2/22/2021 - 2/28/2021,1530
3/1/2021 - 3/7/2021,1290
3/8/2021 - 3/14/2021,1224
3/15/2021 - 3/21/2021,1073
3/22/2021 - 3/28/2021,1103
3/29/2021 - 4/4/2021,963
4/5/2021 - 4/11/2021,971
4/12/2021 - 4/18/2021,914
4/19/2021 - 4/25/2021,1009
4/26/2021 - 5/2/2021,1003
5/3/2021 - 5/9/2021,845
5/10/2021 - 5/16/2021,677
5/17/2021 - 5/23/2021,614
5/24/2021 - 5/30/2021,512
5/31/2021 - 6/6/2021,512
6/7/2021 - 6/13/2021,579
6/14/2021 - 6/20/2021,675
6/21/2021 - 6/27/2021,731
6/28/2021 - 7/4/2021,881
7/5/2021 - 7/11/2021,1071
7/12/2021 - 7/18/2021,1295
7/19/2021 - 7/25/2021,1376
7/26/2021 - 8/1/2021,2063
8/2/2021 - 8/8/2021,1893
8/9/2021 - 8/15/2021,2136
8/16/2021 - 8/22/2021,2589
8/23/2021 - 8/29/2021,3059
8/30/2021 - 9/5/2021,3141
9/6/2021 - 9/12/2021,2969
9/13/2021 - 9/19/2021,2803
9/20/2021 - 9/26/2021,2656
9/27/2021 - 10/3/2021,2711
10/4/2021 - 10/10/2021,3026
10/11/2021 - 10/17/2021,2754
10/18/2021 - 10/24/2021,3241
10/25/2021 - 10/31/2021,3520
11/1/2021 - 11/7/2021,3684
11/8/2021 - 11/14/2021,3823
11/15/2021 - 11/21/2021,3694
11/22/2021 - 11/28/2021,2702
11/29/2021 - 12/5/2021,3726
12/6/2021 - 12/12/2021,2922
12/13/2021 - 12/19/2021,2495
12/20/2021 - 12/26/2021,3239
12/27/2021 - 1/2/2022,10163
1/3/2022 - 1/6/2022,9801
Grand Total,242895
